iter	Logloss
0	0.6521097093
1	0.6223310079
2	0.6005110477
3	0.575741389
4	0.5567667853
5	0.5365089186
6	0.5222402838
7	0.5089442547
8	0.4987936444
9	0.4867179569
10	0.476810677
11	0.4689901451
12	0.4610840241
13	0.4562750358
14	0.4480766737
15	0.4432379858
16	0.4363044447
17	0.4312462919
18	0.4255973543
19	0.4207022613
20	0.4182805342
21	0.4146779854
22	0.4130463587
23	0.4097525762
24	0.4063613086
25	0.4037186909
26	0.4012430607
27	0.4004345126
28	0.3981907425
29	0.3964890516
30	0.3949989571
31	0.3931134289
32	0.3919667958
33	0.390645781
34	0.3890356858
35	0.3875405912
36	0.385834764
37	0.3846487945
38	0.3833457282
39	0.3821587149
40	0.3811049209
41	0.3798991266
42	0.3790038235
43	0.3777691581
44	0.3763076223
45	0.375486889
46	0.3741557628
47	0.3734877838
48	0.3723719328
49	0.3718794598
50	0.3714247148
51	0.3707877
52	0.369559075
53	0.3685458183
54	0.3680616752
55	0.3670333722
56	0.3668397969
57	0.3665497178
58	0.3659360398
59	0.3655622612
60	0.364876913
61	0.3640651959
62	0.363125156
63	0.3627854805
64	0.3620446584
65	0.3610754286
66	0.360737626
67	0.3602762917
68	0.3597984483
69	0.359281265
70	0.3589606642
71	0.3589077622
72	0.358697421
73	0.3584234789
74	0.3579277345
75	0.3575990847
76	0.3572964419
77	0.3563461048
78	0.3554033812
79	0.3551413521
80	0.3550087686
81	0.3545555697
82	0.3541891213
83	0.3533523026
84	0.3531363185
85	0.3528617467
86	0.3524887731
87	0.3519212261
88	0.3516382941
89	0.3513001989
90	0.3509500534
91	0.3505356869
92	0.3502982681
93	0.3501344545
94	0.3496326098
95	0.3494352239
96	0.3491335283
97	0.3484785321
98	0.3473765559
99	0.3465821287
