iter	Passed	Remaining
0	135	13403
1	137	6719
2	138	4471
3	139	3346
4	141	2680
5	142	2232
6	144	1916
7	145	1674
8	147	1494
9	149	1345
10	150	1219
11	152	1117
12	153	1028
13	154	950
14	156	884
15	158	830
16	160	781
17	161	737
18	163	696
19	164	659
20	166	624
21	166	591
22	168	562
23	169	535
24	170	511
25	171	488
26	173	469
27	174	449
28	176	431
29	177	413
30	178	396
31	179	381
32	180	367
33	182	354
34	183	341
35	184	328
36	185	316
37	186	304
38	187	292
39	188	282
40	188	271
41	189	262
42	190	252
43	191	243
44	192	235
45	193	227
46	194	219
47	195	211
48	195	203
49	196	196
50	197	189
51	198	182
52	198	176
53	199	169
54	200	163
55	200	157
56	201	152
57	202	146
58	202	141
59	203	135
60	204	130
61	204	125
62	205	120
63	205	115
64	206	111
65	207	106
66	207	102
67	208	98
68	209	93
69	209	89
70	210	85
71	210	81
72	211	78
73	211	74
74	212	70
75	212	67
76	213	63
77	213	60
78	214	56
79	214	53
80	215	50
81	215	47
82	216	44
83	217	41
84	217	38
85	218	35
86	218	32
87	219	29
88	219	27
89	220	24
90	221	21
91	221	19
92	222	16
93	222	14
94	223	11
95	223	9
96	224	6
97	224	4
98	225	2
99	226	0
